Время: 05/16/2017 15:33:39 Подразделение:  ДСЗ-3| Устройство: Вход| Текущие показания: 0,755169956830875| Всего: 0,755169956830875| Состояние: OK 
Время: 05/16/2017 16:52:26 Подразделение:  ДСЗ-3| Устройство: Вход| Текущие показания: 0,48705958318294| Всего: 11,1814169027756| Состояние: OK 
Время: 05/16/2017 16:52:29 Подразделение:  ДСЗ-3| Устройство: Вход| Текущие показания: 0,338641670690217| Всего: 11,5200585734658| Состояние: OK 
Время: 05/16/2017 16:52:32 Подразделение:  ДСЗ-3| Устройство: Вход| Текущие показания: 0,994223440528951| Всего: 12,5142820139948| Состояние: OK 
Время: 05/16/2017 16:52:35 Подразделение:  ДСЗ-3| Устройство: Вход| Текущие показания: 0,560008697006856| Всего: 13,0742907110017| Состояние: OK 
Время: 05/16/2017 16:52:38 Подразделение:  ДСЗ-3| Устройство: Вход| Текущие показания: 0,219520205734074| Всего: 13,2938109167358| Состояние: OK 
Время: 05/16/2017 16:52:41 Подразделение:  ДСЗ-3| Устройство: Вход| Текущие показания: 0,0689817392588508| Всего: 13,3627926559947| Состояние: OK 
Время: 05/16/2017 16:52:45 Подразделение:  ДСЗ-3| Устройство: Вход| Текущие показания: 0,60471906494569| Всего: 13,9675117209404| Состояние: OK 
Время: 05/16/2017 16:52:48 Подразделение:  ДСЗ-3| Устройство: Вход| Текущие показания: 0,273201904386842| Всего: 14,2407136253272| Состояние: OK 
Время: 05/16/2017 16:52:51 Подразделение:  ДСЗ-3| Устройство: Вход| Текущие показания: 0,0351479458786305| Всего: 14,2758615712058| Состояние: OK 
Время: 05/16/2017 16:52:54 Подразделение:  ДСЗ-3| Устройство: Вход| Текущие показания: 0,492573090127005| Всего: 14,7684346613328| Состояние: OK 
Время: 05/16/2017 16:52:57 Подразделение:  ДСЗ-3| Устройство: Вход| Текущие показания: 0,952273372538515| Всего: 15,7207080338713| Состояние: OK 
Время: 05/16/2017 16:53:00 Подразделение:  ДСЗ-3| Устройство: Вход| Текущие показания: 0,795841934529991| Всего: 16,5165499684013| Состояние: OK 
Время: 05/16/2017 17:07:03 Подразделение:  ДСЗ-3| Устройство: Вход| Текущие показания: 0,061586572351673| Всего: 16,578136540753| Состояние: OK 
Время: 05/16/2017 17:07:06 Подразделение:  ДСЗ-3| Устройство: Вход| Текущие показания: 0,221695117755651| Всего: 16,7998316585087| Состояние: OK 
Время: 05/16/2017 17:07:09 Подразделение:  ДСЗ-3| Устройство: Вход| Текущие показания: 0,791856482993745| Всего: 17,5916881415024| Состояние: OK 
Время: 05/16/2017 17:07:12 Подразделение:  ДСЗ-3| Устройство: Вход| Текущие показания: 0,803692398035756| Всего: 18,3953805395382| Состояние: OK 
