Время: 04/05/2017 21:14:47 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,657189805832314| Всего: 0,657189805832314| Состояние: OK 
Время: 04/05/2017 21:16:00 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,46809240918052| Всего: 5,79205574830624| Состояние: OK 
Время: 04/05/2017 21:16:03 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,984411519944859| Всего: 6,7764672682511| Состояние: OK 
Время: 04/05/2017 21:16:06 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,113399937801715| Всего: 6,88986720605281| Состояние: OK 
Время: 04/05/2017 21:16:09 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,301622523600991| Всего: 7,1914897296538| Состояние: OK 
Время: 04/05/2017 21:16:12 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,606530723444433| Всего: 7,79802045309823| Состояние: OK 
Время: 04/05/2017 21:16:15 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,318663395158324| Всего: 8,11668384825655| Состояние: OK 
Время: 04/05/2017 21:16:18 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,807506597045579| Всего: 8,92419044530213| Состояние: OK 
Время: 04/05/2017 21:16:21 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,484408093841937| Всего: 9,40859853914407| Состояние: OK 
Время: 04/05/2017 21:16:24 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,0625361125276127| Всего: 9,47113465167168| Состояние: OK 
Время: 04/05/2017 21:16:27 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,778764906236327| Всего: 10,249899557908| Состояние: OK 
Время: 04/05/2017 21:16:30 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,152740820382135| Всего: 10,4026403782901| Состояние: OK 
Время: 04/05/2017 21:16:34 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,295841772247032| Всего: 10,6984821505371| Состояние: OK 
Время: 04/05/2017 21:16:36 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,319310414753533| Всего: 11,0177925652906| Состояние: OK 
Время: 04/05/2017 21:16:39 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,0688091675140006| Всего: 11,0866017328046| Состояние: OK 
Время: 04/05/2017 21:16:42 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,211015231539968| Всего: 11,2976169643446| Состояние: OK 
Время: 04/05/2017 21:16:45 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,184464859862097| Всего: 11,4820818242067| Состояние: OK 
Время: 04/05/2017 21:16:48 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,573035068145504| Всего: 12,0551168923522| Состояние: OK 
Время: 04/05/2017 21:16:51 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,578787878425227| Всего: 12,6339047707774| Состояние: OK 
Время: 04/05/2017 21:16:54 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,10872166841697| Всего: 12,7426264391944| Состояние: OK 
Время: 04/05/2017 21:16:57 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,439780591726201| Всего: 13,1824070309206| Состояние: OK 
Время: 04/05/2017 21:17:01 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,80885970164503| Всего: 13,9912667325656| Состояние: OK 
Время: 04/05/2017 21:17:04 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,710694891731578| Всего: 14,7019616242972| Состояние: OK 
Время: 04/05/2017 21:17:07 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,76540885389103| Всего: 15,4673704781882| Состояние: OK 
Время: 04/05/2017 21:17:10 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,0481183692105666| Всего: 15,5154888473988| Состояние: OK 
Время: 04/05/2017 21:17:13 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,632985679727507| Всего: 16,1484745271263| Состояние: OK 
Время: 04/05/2017 21:17:16 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,220349132651626| Всего: 16,3688236597779| Состояние: OK 
Время: 04/05/2017 21:17:19 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,611371415951928| Всего: 16,9801950757298| Состояние: OK 
Время: 04/05/2017 21:17:22 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,774873399536532| Всего: 17,7550684752663| Состояние: OK 
Время: 04/05/2017 21:17:25 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,0100243762182185| Всего: 17,7650928514845| Состояние: OK 
Время: 04/05/2017 21:17:28 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,848480184957609| Всего: 18,6135730364421| Состояние: OK 
Время: 04/05/2017 21:17:31 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,275395740883144| Всего: 18,8889687773252| Состояние: OK 
Время: 04/05/2017 21:17:34 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,888731385063721| Всего: 19,7777001623889| Состояние: OK 
Время: 04/05/2017 21:17:37 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,850662141968805| Всего: 20,6283623043577| Состояние: OK 
Время: 04/05/2017 21:17:40 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,997211038133693| Всего: 21,6255733424914| Состояние: OK 
Время: 04/05/2017 21:17:43 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,0898969052778077| Всего: 21,7154702477692| Состояние: OK 
Время: 04/05/2017 21:17:46 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,65406675061866| Всего: 22,3695369983879| Состояние: OK 
Время: 04/05/2017 21:17:49 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,738811994781164| Всего: 23,1083489931691| Состояние: OK 
Время: 04/05/2017 21:17:52 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,912230692297328| Всего: 24,0205796854664| Состояние: OK 
Время: 04/05/2017 21:17:55 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,407280327941887| Всего: 24,4278600134083| Состояние: OK 
Время: 04/05/2017 21:17:58 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,907949078785232| Всего: 25,3358090921935| Состояние: OK 
Время: 04/05/2017 21:18:01 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,0633962513242831| Всего: 25,3992053435178| Состояние: OK 
Время: 04/05/2017 21:18:04 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,196942314131624| Всего: 25,5961476576494| Состояние: OK 
Время: 04/05/2017 21:18:07 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,200068593118372| Всего: 25,7962162507678| Состояние: OK 
Время: 04/05/2017 21:18:10 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,878424899595987| Всего: 26,6746411503638| Состояние: OK 
Время: 04/05/2017 21:18:13 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,147264616632492| Всего: 26,8219057669963| Состояние: OK 
Время: 04/05/2017 21:18:16 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,788943677576698| Всего: 27,610849444573| Состояние: OK 
Время: 04/05/2017 21:18:19 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,922789010648983| Всего: 28,533638455222| Состояние: OK 
Время: 04/05/2017 21:18:22 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,468763214288635| Всего: 29,0024016695106| Состояние: OK 
Время: 04/05/2017 21:18:25 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,0255535040169738| Всего: 29,0279551735276| Состояние: OK 
Время: 04/05/2017 21:18:28 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,417739051123028| Всего: 29,4456942246506| Состояние: OK 
Время: 04/05/2017 21:18:31 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,348845815448484| Всего: 29,7945400400991| Состояние: OK 
Время: 04/05/2017 21:18:34 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,396317896152063| Всего: 30,1908579362512| Состояние: OK 
Время: 04/05/2017 21:18:37 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,422397391601651| Всего: 30,6132553278528| Состояние: OK 
Время: 04/05/2017 21:18:40 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,625647090666763| Всего: 31,2389024185196| Состояние: OK 
Время: 04/05/2017 21:18:43 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,361145090479937| Всего: 31,6000475089995| Состояние: OK 
Время: 04/05/2017 21:18:46 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,757397517448942| Всего: 32,3574450264484| Состояние: OK 
Время: 04/05/2017 21:18:49 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,219002666053829| Всего: 32,5764476925022| Состояние: OK 
Время: 04/08/2017 21:33:08 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,145084586527704| Всего: 0,145084586527704| Состояние: OK 
Время: 04/08/2017 21:33:11 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,489810085152187| Всего: 0,634894671679891| Состояние: OK 
Время: 04/08/2017 21:33:14 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,89795891563313| Всего: 1,53285358731302| Состояние: OK 
Время: 04/08/2017 21:33:17 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,143921910852157| Всего: 1,67677549816518| Состояние: OK 
Время: 04/08/2017 21:33:20 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,491336992704932| Всего: 2,16811249087011| Состояние: OK 
Время: 04/08/2017 21:33:23 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,794282114968767| Всего: 2,96239460583888| Состояние: OK 
Время: 04/08/2017 21:33:26 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,769736940865282| Всего: 3,73213154670416| Состояние: OK 
Время: 04/08/2017 21:33:29 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,0503603988561595| Всего: 3,78249194556032| Состояние: OK 
Время: 04/08/2017 21:33:32 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,982919374007229| Всего: 4,76541131956755| Состояние: OK 
Время: 04/08/2017 21:33:35 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,0556889786644322| Всего: 4,82110029823198| Состояние: OK 
Время: 04/08/2017 21:33:38 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,429020528415693| Всего: 5,25012082664767| Состояние: OK 
Время: 04/08/2017 21:33:41 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,0779959638966229| Всего: 5,32811679054429| Состояние: OK 
Время: 04/08/2017 21:33:44 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,344514651850106| Всего: 5,6726314423944| Состояние: OK 
Время: 04/08/2017 21:33:47 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,239771019313378| Всего: 5,91240246170778| Состояние: OK 
Время: 04/08/2017 21:33:50 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,504204950064516| Всего: 6,4166074117723| Состояние: OK 
Время: 04/08/2017 21:33:53 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,856170134551902| Всего: 7,2727775463242| Состояние: OK 
Время: 04/08/2017 21:33:56 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,793032833744321| Всего: 8,06581038006852| Состояние: OK 
Время: 04/08/2017 21:33:59 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,260508576063676| Всего: 8,3263189561322| Состояние: OK 
Время: 04/08/2017 21:34:02 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,989293310320607| Всего: 9,31561226645281| Состояние: OK 
Время: 04/08/2017 21:34:05 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,514171295107422| Всего: 9,82978356156023| Состояние: OK 
Время: 04/08/2017 21:34:08 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,733645966152496| Всего: 10,5634295277127| Состояние: OK 
Время: 04/08/2017 21:34:11 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,495153256922566| Всего: 11,0585827846353| Состояние: OK 
Время: 04/08/2017 21:34:14 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,39781943308088| Всего: 11,4564022177162| Состояние: OK 
Время: 04/08/2017 21:34:17 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,599738581851003| Всего: 12,0561407995672| Состояние: OK 
Время: 04/08/2017 21:34:20 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,535490175492824| Всего: 12,59163097506| Состояние: OK 
Время: 04/08/2017 21:34:23 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,393476356004121| Всего: 12,9851073310641| Состояние: OK 
Время: 04/08/2017 21:34:26 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,182592244438172| Всего: 13,1676995755023| Состояние: OK 
Время: 04/08/2017 21:34:29 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,704255096476644| Всего: 13,8719546719789| Состояние: OK 
Время: 04/08/2017 21:34:32 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,307024798033305| Всего: 14,1789794700122| Состояние: OK 
Время: 04/08/2017 21:34:35 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,51744311094165| Всего: 14,6964225809539| Состояние: OK 
Время: 04/08/2017 21:34:38 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,564291322400929| Всего: 15,2607139033548| Состояние: OK 
Время: 04/08/2017 21:34:41 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,781040545916669| Всего: 16,0417544492715| Состояние: OK 
Время: 04/08/2017 21:34:44 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,0422515208098346| Всего: 16,0840059700813| Состояние: OK 
Время: 04/08/2017 21:34:47 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,39844774007725| Всего: 16,4824537101585| Состояние: OK 
Время: 04/08/2017 21:34:50 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,873594682139156| Всего: 17,3560483922977| Состояние: OK 
Время: 04/08/2017 21:34:53 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,429500289461343| Всего: 17,785548681759| Состояние: OK 
Время: 04/08/2017 21:34:56 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,846360722019505| Всего: 18,6319094037785| Состояние: OK 
Время: 04/08/2017 21:34:59 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,223423252451896| Всего: 18,8553326562304| Состояние: OK 
Время: 04/08/2017 21:35:02 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,763430452329773| Всего: 19,6187631085602| Состояние: OK 
Время: 04/08/2017 21:35:05 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,487589456368047| Всего: 20,1063525649282| Состояние: OK 
Время: 04/08/2017 21:35:08 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,312794080615413| Всего: 20,4191466455436| Состояние: OK 
Время: 04/08/2017 21:35:11 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,544166969854462| Всего: 20,9633136153981| Состояние: OK 
Время: 04/08/2017 21:35:14 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,0895716953508424| Всего: 21,0528853107489| Состояние: OK 
Время: 04/08/2017 21:35:17 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,479843752682136| Всего: 21,532729063431| Состояние: OK 
Время: 04/08/2017 21:35:20 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,329759404216781| Всего: 21,8624884676478| Состояние: OK 
Время: 04/08/2017 21:35:23 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,00524740107601853| Всего: 21,8677358687238| Состояние: NOLOAD 
Время: 04/08/2017 21:35:26 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,756312987188023| Всего: 22,6240488559118| Состояние: OK 
Время: 04/08/2017 21:35:29 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,926592008642197| Всего: 23,550640864554| Состояние: OK 
Время: 04/08/2017 21:35:32 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,731785347094659| Всего: 24,2824262116487| Состояние: OK 
Время: 04/08/2017 21:35:35 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,221902845996387| Всего: 24,5043290576451| Состояние: OK 
Время: 04/08/2017 21:35:38 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,0500590750249378| Всего: 24,55438813267| Состояние: OK 
Время: 04/08/2017 21:35:41 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,732266671830912| Всего: 25,2866548045009| Состояние: OK 
Время: 04/08/2017 21:35:44 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,0453985305714414| Всего: 25,3320533350723| Состояние: OK 
Время: 04/08/2017 21:35:47 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,339795414982268| Всего: 25,6718487500546| Состояние: OK 
Время: 04/08/2017 21:35:50 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,00335215451351933| Всего: 25,6752009045681| Состояние: NOLOAD 
Время: 04/08/2017 21:35:53 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,649931329605138| Всего: 26,3251322341732| Состояние: OK 
Время: 04/08/2017 21:35:56 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,0919906520713077| Всего: 26,4171228862445| Состояние: OK 
Время: 04/08/2017 21:35:59 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,298220333782127| Всего: 26,7153432200266| Состояние: OK 
Время: 04/08/2017 21:36:02 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,608431735359333| Всего: 27,3237749553859| Состояние: OK 
Время: 04/08/2017 21:36:05 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,0978606367008112| Всего: 27,4216355920867| Состояние: OK 
Время: 04/09/2017 12:33:33 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,00932097988171549| Всего: 0,00932097988171549| Состояние: OK 
Время: 04/09/2017 12:33:36 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,00112731829338116| Всего: 0,0104482981750967| Состояние: NOLOAD 
Время: 04/09/2017 12:33:39 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,00491218031147131| Всего: 0,015360478486568| Состояние: NOLOAD 
Время: 04/09/2017 12:33:42 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,00163059482892537| Всего: 0,0169910733154934| Состояние: NOLOAD 
Время: 04/09/2017 12:33:45 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 1,64239807130881E-05| Всего: 0,0170074972962065| Состояние: NOLOAD 
Время: 04/09/2017 12:33:48 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,00836154893430022| Всего: 0,0253690462305067| Состояние: NOLOAD 
Время: 04/09/2017 12:33:51 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,00943332230645852| Всего: 0,0348023685369652| Состояние: NOLOAD 
Время: 04/09/2017 12:33:54 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 7,73568079235762E-05| Всего: 0,0348797253448888| Состояние: NOLOAD 
Время: 04/09/2017 12:33:57 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,00849954924941973| Всего: 0,0433792745943085| Состояние: NOLOAD 
Время: 04/09/2017 12:34:00 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,00291240774230678| Всего: 0,0462916823366153| Состояние: NOLOAD 
Время: 04/09/2017 12:34:03 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,0017827437500389| Всего: 0,0480744260866542| Состояние: NOLOAD 
Время: 04/09/2017 12:34:06 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,00446976717303962| Всего: 0,0525441932596938| Состояние: NOLOAD 
Время: 04/09/2017 12:34:09 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,00495726853374265| Всего: 0,0575014617934364| Состояние: NOLOAD 
Время: 04/09/2017 12:34:12 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,00292043374987339| Всего: 0,0604218955433098| Состояние: NOLOAD 
Время: 04/09/2017 12:34:15 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,00284518269023168| Всего: 0,0632670782335415| Состояние: NOLOAD 
Время: 04/09/2017 12:34:18 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,00256146236907759| Всего: 0,0658285406026191| Состояние: NOLOAD 
Время: 04/09/2017 12:34:21 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,00563933474274321| Всего: 0,0714678753453623| Состояние: NOLOAD 
Время: 04/09/2017 12:34:24 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,00376537467994046| Всего: 0,0752332500253028| Состояние: NOLOAD 
Время: 04/09/2017 12:34:27 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,0044674884176196| Всего: 0,0797007384429224| Состояние: NOLOAD 
Время: 04/09/2017 12:34:30 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,000608070576846632| Всего: 0,080308809019769| Состояние: NOLOAD 
Время: 04/09/2017 12:34:33 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,00448501527052606| Всего: 0,0847938242902951| Состояние: NOLOAD 
Время: 04/09/2017 12:34:36 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,00298093704179904| Всего: 0,0877747613320941| Состояние: NOLOAD 
Время: 04/09/2017 12:34:39 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,008226065960818| Всего: 0,0960008272929121| Состояние: NOLOAD 
Время: 04/09/2017 12:34:42 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,00460516833914684| Всего: 0,100605995632059| Состояние: NOLOAD 
Время: 04/09/2017 12:35:20 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,0109379547699066| Всего: 0,111543950401966| Состояние: OK 
Время: 04/09/2017 12:35:23 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,21815186236899| Всего: 0,329695812770956| Состояние: OK 
Время: 04/09/2017 12:35:27 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,00820930072954358| Всего: 0,3379051135005| Состояние: NOLOAD 
Время: 04/09/2017 12:35:30 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,00764484804479631| Всего: 0,345549961545296| Состояние: NOLOAD 
Время: 04/09/2017 12:35:33 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,00423848791710962| Всего: 0,349788449462406| Состояние: NOLOAD 
Время: 04/09/2017 12:35:36 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,00757177720198956| Всего: 0,357360226664396| Состояние: NOLOAD 
Время: 04/09/2017 12:35:39 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 2,47600861009025E-05| Всего: 0,357384986750497| Состояние: NOLOAD 
Время: 04/09/2017 12:35:42 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,00852970891098013| Всего: 0,365914695661477| Состояние: NOLOAD 
Время: 04/09/2017 12:35:45 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,00372536069421347| Всего: 0,36964005635569| Состояние: NOLOAD 
Время: 04/09/2017 12:35:48 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,00533140896602134| Всего: 0,374971465321711| Состояние: NOLOAD 
Время: 04/09/2017 12:35:52 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,0067645562145694| Всего: 0,38173602153628| Состояние: NOLOAD 
Время: 04/09/2017 12:35:54 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,00908943811854787| Всего: 0,390825459654828| Состояние: NOLOAD 
Время: 04/09/2017 12:35:57 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,00877711575887032| Всего: 0,399602575413698| Состояние: NOLOAD 
Время: 04/09/2017 12:36:00 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,00922310057991329| Всего: 0,408825675993611| Состояние: NOLOAD 
Время: 04/09/2017 12:36:03 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,00296707653113039| Всего: 0,411792752524741| Состояние: NOLOAD 
