Время: 04/15/2017 20:28:39 Подразделение:  ДСЗ-3| Устройство: Конус 1| Текущие показания: 0,837340055423481| Всего: 0,837340055423481| Состояние: OK 
Время: 04/15/2017 20:32:42 Подразделение:  ДСЗ-3| Устройство: Конус 1| Текущие показания: 0,710451023052657| Всего: 39,3265979827042| Состояние: OK 
Время: 04/15/2017 20:32:45 Подразделение:  ДСЗ-3| Устройство: Конус 1| Текущие показания: 0,350201536133048| Всего: 39,6767995188373| Состояние: OK 
Время: 04/15/2017 20:32:48 Подразделение:  ДСЗ-3| Устройство: Конус 1| Текущие показания: 0,37950765172928| Всего: 40,0563071705666| Состояние: OK 
Время: 04/15/2017 20:32:51 Подразделение:  ДСЗ-3| Устройство: Конус 1| Текущие показания: 0,122590031997575| Всего: 40,1788972025642| Состояние: OK 
Время: 04/15/2017 20:32:54 Подразделение:  ДСЗ-3| Устройство: Конус 1| Текущие показания: 0,0485623702633019| Всего: 40,2274595728275| Состояние: OK 
Время: 04/15/2017 20:32:57 Подразделение:  ДСЗ-3| Устройство: Конус 1| Текущие показания: 0,110908117196946| Всего: 40,3383676900244| Состояние: OK 
Время: 04/15/2017 20:33:00 Подразделение:  ДСЗ-3| Устройство: Конус 1| Текущие показания: 0,994977131017939| Всего: 41,3333448210423| Состояние: OK 
Время: 04/15/2017 20:33:03 Подразделение:  ДСЗ-3| Устройство: Конус 1| Текущие показания: 0,527586603782879| Всего: 41,8609314248252| Состояние: OK 
Время: 04/15/2017 20:33:06 Подразделение:  ДСЗ-3| Устройство: Конус 1| Текущие показания: 0,758905864674088| Всего: 42,6198372894993| Состояние: OK 
Время: 04/15/2017 20:33:09 Подразделение:  ДСЗ-3| Устройство: Конус 1| Текущие показания: 0,838927781600006| Всего: 43,4587650710993| Состояние: OK 
Время: 04/15/2017 20:33:13 Подразделение:  ДСЗ-3| Устройство: Конус 1| Текущие показания: 0,145838867940865| Всего: 43,6046039390402| Состояние: OK 
Время: 04/15/2017 20:33:15 Подразделение:  ДСЗ-3| Устройство: Конус 1| Текущие показания: 0,219686141339916| Всего: 43,8242900803801| Состояние: OK 
Время: 04/15/2017 20:33:18 Подразделение:  ДСЗ-3| Устройство: Конус 1| Текущие показания: 0,131232825634644| Всего: 43,9555229060147| Состояние: OK 
Время: 04/15/2017 20:33:28 Подразделение:  ДСЗ-3| Устройство: Конус 1| Текущие показания: 0,993108484890828| Всего: 44,9486313909055| Состояние: OK 
Время: 04/15/2017 20:33:28 Подразделение:  ДСЗ-3| Устройство: Конус 1| Текущие показания: 0,852680095402841| Всего: 46,6588439301863| Состояние: OK 
Время: 04/15/2017 20:33:31 Подразделение:  ДСЗ-3| Устройство: Конус 1| Текущие показания: 0,68216641884398| Всего: 47,3410103490303| Состояние: OK 
Время: 04/15/2017 20:33:33 Подразделение:  ДСЗ-3| Устройство: Конус 1| Текущие показания: 0,0164836430998909| Всего: 47,3574939921302| Состояние: OK 
Время: 04/15/2017 20:33:37 Подразделение:  ДСЗ-3| Устройство: Конус 1| Текущие показания: 0,841075300630683| Всего: 48,1985692927609| Состояние: OK 
Время: 04/15/2017 20:33:42 Подразделение:  ДСЗ-3| Устройство: Конус 1| Текущие показания: 0,266666458112498| Всего: 48,4652357508734| Состояние: OK 
Время: 04/15/2017 20:33:43 Подразделение:  ДСЗ-3| Устройство: Конус 1| Текущие показания: 0,98040021116864| Всего: 49,445635962042| Состояние: OK 
Время: 04/15/2017 20:33:45 Подразделение:  ДСЗ-3| Устройство: Конус 1| Текущие показания: 0,886417019593724| Всего: 50,3320529816357| Состояние: OK 
Время: 04/15/2017 20:33:48 Подразделение:  ДСЗ-3| Устройство: Конус 1| Текущие показания: 0,392583639078114| Всего: 50,7246366207138| Состояние: OK 
Время: 04/15/2017 20:33:51 Подразделение:  ДСЗ-3| Устройство: Конус 1| Текущие показания: 0,248293924726683| Всего: 50,9729305454405| Состояние: OK 
Время: 04/15/2017 20:34:01 Подразделение:  ДСЗ-3| Устройство: Конус 1| Текущие показания: 0,665746449337223| Всего: 53,3165434949643| Состояние: OK 
Время: 04/15/2017 20:34:03 Подразделение:  ДСЗ-3| Устройство: Конус 1| Текущие показания: 0,103694706272192| Всего: 53,4202382012365| Состояние: OK 
Время: 04/15/2017 20:34:06 Подразделение:  ДСЗ-3| Устройство: Конус 1| Текущие показания: 0,566526866781771| Всего: 53,9867650680183| Состояние: OK 
Время: 04/15/2017 20:34:09 Подразделение:  ДСЗ-3| Устройство: Конус 1| Текущие показания: 0,165322204663103| Всего: 54,1520872726814| Состояние: OK 
Время: 04/15/2017 20:34:12 Подразделение:  ДСЗ-3| Устройство: Конус 1| Текущие показания: 0,325453295523978| Всего: 54,4775405682054| Состояние: OK 
Время: 04/15/2017 20:34:15 Подразделение:  ДСЗ-3| Устройство: Конус 1| Текущие показания: 0,898183064022187| Всего: 55,3757236322276| Состояние: OK 
Время: 04/15/2017 20:34:18 Подразделение:  ДСЗ-3| Устройство: Конус 1| Текущие показания: 0,729017192837325| Всего: 56,1047408250649| Состояние: OK 
Время: 04/15/2017 20:34:21 Подразделение:  ДСЗ-3| Устройство: Конус 1| Текущие показания: 0,480742293168205| Всего: 56,5854831182331| Состояние: OK 
Время: 04/15/2017 20:34:24 Подразделение:  ДСЗ-3| Устройство: Конус 1| Текущие показания: 0,0885855239297196| Всего: 56,6740686421628| Состояние: OK 
Время: 04/15/2017 20:34:27 Подразделение:  ДСЗ-3| Устройство: Конус 1| Текущие показания: 0,147291968645198| Всего: 56,821360610808| Состояние: OK 
Время: 04/15/2017 20:34:30 Подразделение:  ДСЗ-3| Устройство: Конус 1| Текущие показания: 0,780307577820638| Всего: 57,6016681886286| Состояние: OK 
Время: 04/15/2017 20:34:33 Подразделение:  ДСЗ-3| Устройство: Конус 1| Текущие показания: 0,736675170593278| Всего: 58,3383433592219| Состояние: OK 
Время: 04/15/2017 20:34:37 Подразделение:  ДСЗ-3| Устройство: Конус 1| Текущие показания: 0,175998119253664| Всего: 58,5143414784756| Состояние: OK 
Время: 04/15/2017 20:34:40 Подразделение:  ДСЗ-3| Устройство: Конус 1| Текущие показания: 0,0578126604938007| Всего: 58,5721541389694| Состояние: OK 
Время: 04/15/2017 20:34:43 Подразделение:  ДСЗ-3| Устройство: Конус 1| Текущие показания: 0,319983533266924| Всего: 58,8921376722363| Состояние: OK 
Время: 04/15/2017 20:34:45 Подразделение:  ДСЗ-3| Устройство: Конус 1| Текущие показания: 0,492289181562275| Всего: 59,3844268537986| Состояние: OK 
Время: 04/15/2017 20:34:48 Подразделение:  ДСЗ-3| Устройство: Конус 1| Текущие показания: 0,534972117997227| Всего: 59,9193989717958| Состояние: OK 
Время: 04/15/2017 20:34:51 Подразделение:  ДСЗ-3| Устройство: Конус 1| Текущие показания: 0,637982351536854| Всего: 60,5573813233327| Состояние: OK 
Время: 04/15/2017 20:34:54 Подразделение:  ДСЗ-3| Устройство: Конус 1| Текущие показания: 0,702998689703177| Всего: 61,2603800130359| Состояние: OK 
Время: 04/15/2017 20:34:57 Подразделение:  ДСЗ-3| Устройство: Конус 1| Текущие показания: 0,814250497526606| Всего: 62,0746305105625| Состояние: OK 
Время: 04/15/2017 20:35:00 Подразделение:  ДСЗ-3| Устройство: Конус 1| Текущие показания: 0,876030541433036| Всего: 62,9506610519955| Состояние: OK 
Время: 04/15/2017 20:35:03 Подразделение:  ДСЗ-3| Устройство: Конус 1| Текущие показания: 0,0362330153753203| Всего: 62,9868940673708| Состояние: OK 
Время: 04/15/2017 20:35:06 Подразделение:  ДСЗ-3| Устройство: Конус 1| Текущие показания: 0,328475023307127| Всего: 63,3153690906779| Состояние: OK 
Время: 04/15/2017 20:35:09 Подразделение:  ДСЗ-3| Устройство: Конус 1| Текущие показания: 0,5152460525349| Всего: 63,8306151432128| Состояние: OK 
Время: 04/15/2017 20:35:12 Подразделение:  ДСЗ-3| Устройство: Конус 1| Текущие показания: 0,383126695818792| Всего: 64,2137418390316| Состояние: OK 
Время: 04/15/2017 20:35:15 Подразделение:  ДСЗ-3| Устройство: Конус 1| Текущие показания: 0,825454206590287| Всего: 65,0391960456219| Состояние: OK 
Время: 04/15/2017 20:35:18 Подразделение:  ДСЗ-3| Устройство: Конус 1| Текущие показания: 0,112650701362943| Всего: 65,1518467469848| Состояние: OK 
Время: 04/15/2017 20:35:22 Подразделение:  ДСЗ-3| Устройство: Конус 1| Текущие показания: 0,03869016982554| Всего: 65,1905369168103| Состояние: OK 
Время: 04/15/2017 20:35:24 Подразделение:  ДСЗ-3| Устройство: Конус 1| Текущие показания: 0,448903009970162| Всего: 65,6394399267805| Состояние: OK 
Время: 04/15/2017 20:35:27 Подразделение:  ДСЗ-3| Устройство: Конус 1| Текущие показания: 0,824034003458933| Всего: 66,4634739302394| Состояние: OK 
Время: 04/15/2017 20:35:30 Подразделение:  ДСЗ-3| Устройство: Конус 1| Текущие показания: 0,957617897054934| Всего: 67,4210918272943| Состояние: OK 
Время: 04/15/2017 20:35:33 Подразделение:  ДСЗ-3| Устройство: Конус 1| Текущие показания: 0,131213727002597| Всего: 67,5523055542969| Состояние: OK 
Время: 04/15/2017 20:35:36 Подразделение:  ДСЗ-3| Устройство: Конус 1| Текущие показания: 0,227403028974032| Всего: 67,7797085832709| Состояние: OK 
Время: 04/15/2017 20:35:39 Подразделение:  ДСЗ-3| Устройство: Конус 1| Текущие показания: 0,265882873100174| Всего: 68,0455914563711| Состояние: OK 
Время: 04/15/2017 20:35:42 Подразделение:  ДСЗ-3| Устройство: Конус 1| Текущие показания: 0,445161667859723| Всего: 68,4907531242308| Состояние: OK 
Время: 04/15/2017 20:35:45 Подразделение:  ДСЗ-3| Устройство: Конус 1| Текущие показания: 0,891282424745747| Всего: 69,3820355489766| Состояние: OK 
Время: 04/15/2017 20:35:48 Подразделение:  ДСЗ-3| Устройство: Конус 1| Текущие показания: 0,961059737001108| Всего: 70,3430952859777| Состояние: OK 
Время: 04/15/2017 20:35:51 Подразделение:  ДСЗ-3| Устройство: Конус 1| Текущие показания: 0,593583660010986| Всего: 70,9366789459887| Состояние: OK 
Время: 04/15/2017 20:35:54 Подразделение:  ДСЗ-3| Устройство: Конус 1| Текущие показания: 0,513474486076028| Всего: 71,4501534320647| Состояние: OK 
Время: 04/15/2017 20:35:57 Подразделение:  ДСЗ-3| Устройство: Конус 1| Текущие показания: 0,247655803918678| Всего: 71,6978092359834| Состояние: OK 
Время: 04/15/2017 20:36:00 Подразделение:  ДСЗ-3| Устройство: Конус 1| Текущие показания: 0,490668948502591| Всего: 72,188478184486| Состояние: OK 
Время: 04/15/2017 20:36:03 Подразделение:  ДСЗ-3| Устройство: Конус 1| Текущие показания: 0,650490532466439| Всего: 72,8389687169524| Состояние: OK 
Время: 04/15/2017 20:36:06 Подразделение:  ДСЗ-3| Устройство: Конус 1| Текущие показания: 0,904522960961109| Всего: 73,7434916779135| Состояние: OK 
Время: 04/15/2017 20:36:09 Подразделение:  ДСЗ-3| Устройство: Конус 1| Текущие показания: 0,710240475232825| Всего: 74,4537321531463| Состояние: OK 
Время: 04/15/2017 20:36:12 Подразделение:  ДСЗ-3| Устройство: Конус 1| Текущие показания: 0,0723725175822026| Всего: 74,5261046707285| Состояние: OK 
Время: 04/15/2017 20:36:15 Подразделение:  ДСЗ-3| Устройство: Конус 1| Текущие показания: 0,945491248250702| Всего: 75,4715959189792| Состояние: OK 
Время: 04/15/2017 20:36:18 Подразделение:  ДСЗ-3| Устройство: Конус 1| Текущие показания: 0,840485523846227| Всего: 76,3120814428254| Состояние: OK 
Время: 04/15/2017 20:36:21 Подразделение:  ДСЗ-3| Устройство: Конус 1| Текущие показания: 0,783262640136882| Всего: 77,0953440829623| Состояние: OK 
Время: 04/15/2017 20:36:25 Подразделение:  ДСЗ-3| Устройство: Конус 1| Текущие показания: 0,946682924845574| Всего: 78,0420270078079| Состояние: OK 
Время: 04/15/2017 20:36:27 Подразделение:  ДСЗ-3| Устройство: Конус 1| Текущие показания: 0,488111029606364| Всего: 78,5301380374143| Состояние: OK 
Время: 04/15/2017 20:36:31 Подразделение:  ДСЗ-3| Устройство: Конус 1| Текущие показания: 0,351444901596496| Всего: 78,8815829390108| Состояние: OK 
Время: 04/15/2017 20:36:33 Подразделение:  ДСЗ-3| Устройство: Конус 1| Текущие показания: 0,75460128754126| Всего: 79,6361842265521| Состояние: OK 
Время: 04/15/2017 20:36:36 Подразделение:  ДСЗ-3| Устройство: Конус 1| Текущие показания: 0,545295235023506| Всего: 80,1814794615756| Состояние: OK 
Время: 04/15/2017 20:52:50 Подразделение:  ДСЗ-3| Устройство: Конус 1| Текущие показания: 0,00210901387599717| Всего: 0,00210901387599717| Состояние: OK 
Время: 04/15/2017 20:52:53 Подразделение:  ДСЗ-3| Устройство: Конус 1| Текущие показания: 0,00496531560782591| Всего: 0,00707432948382308| Состояние: NOLOAD 
Время: 04/15/2017 20:52:56 Подразделение:  ДСЗ-3| Устройство: Конус 1| Текущие показания: 0,0030966600929837| Всего: 0,0101709895768068| Состояние: NOLOAD 
Время: 04/15/2017 20:52:59 Подразделение:  ДСЗ-3| Устройство: Конус 1| Текущие показания: 0,00543091263409281| Всего: 0,0156019022108996| Состояние: NOLOAD 
Время: 04/15/2017 20:53:02 Подразделение:  ДСЗ-3| Устройство: Конус 1| Текущие показания: 0,000366888856686134| Всего: 0,0159687910675857| Состояние: NOLOAD 
Время: 04/15/2017 20:53:05 Подразделение:  ДСЗ-3| Устройство: Конус 1| Текущие показания: 0,00854818634621249| Всего: 0,0245169774137982| Состояние: NOLOAD 
Время: 04/15/2017 20:53:08 Подразделение:  ДСЗ-3| Устройство: Конус 1| Текущие показания: 0,00211844938440176| Всего: 0,0266354267982| Состояние: NOLOAD 
Время: 04/15/2017 20:53:11 Подразделение:  ДСЗ-3| Устройство: Конус 1| Текущие показания: 0,0088811673451593| Всего: 0,0355165941433593| Состояние: NOLOAD 
Время: 04/15/2017 20:53:14 Подразделение:  ДСЗ-3| Устройство: Конус 1| Текущие показания: 0,000459594000344907| Всего: 0,0359761881437042| Состояние: NOLOAD 
Время: 04/15/2017 20:53:17 Подразделение:  ДСЗ-3| Устройство: Конус 1| Текущие показания: 0,00508940858537769| Всего: 0,0410655967290819| Состояние: NOLOAD 
Время: 04/15/2017 20:53:20 Подразделение:  ДСЗ-3| Устройство: Конус 1| Текущие показания: 0,00417214464590519| Всего: 0,0452377413749871| Состояние: NOLOAD 
